"country","region","population","density","lifeexp","fertility","education","military","gdpcapita","unemployment","inequality","inflation","debt","carbon","polrights","corruption"
"Mongolia","Asia",3179997,2.03,68.63,2.19,5.6,1.4,3200,9.9,36.5,9.5,70.5,2.97,2,36
"Montenegro","Europe",657394,47.6,77.89,1.55,2.7,1,11500,11.5,24.3,3,45,2.95,3,41
"Morocco","Africa",32309239,72.35,76.11,2.19,5.6,5,5100,8.9,40.9,0.9,64.7,1.1,5,37
"Mozambique","Africa",23515934,29.42,52.02,5.4,5,0.8,1100,21,45.6,10.4,34.4,0.12,4,31
"Namibia","Africa",2165828,2.63,52.17,2.41,6.4,3.7,7500,51.2,70.7,5,26.8,1.76,2,48
"Nauru","Oceania",9378,446.57,65.7,3.03,2.7,4.3,5000,90,45,3.8,33.6,23.43,1,25
"Nepal","Asia",29890686,203.09,66.51,2.41,4.6,1.6,1200,46,47.2,9.6,37.6,0.11,4,27
"Netherlands","Europe",16730632,402.73,80.91,1.78,5.3,1.6,42000,4.4,30.9,2.3,65.1,15.74,1,84
"New_Zealand","Oceania",4327944,16.17,80.71,2.07,6.1,1,28000,6.5,36.2,4,36.1,9.15,1,90
"Nicaragua","Central_America",5727707,43.93,72.18,2.08,3.1,0.6,3200,7.3,40.5,8.1,70.5,0.84,5,29
"Niger","Africa",16344687,12.9,53.8,7.16,4.5,1.3,800,30,34,2.9,31.3,0.11,3,33
"Nigeria","Africa",170123740,184.16,52.05,5.38,4.7,1.5,2600,21,43.7,10.8,17.8,0.47,4,27
"Norway","Europe",4707270,14.54,80.32,1.77,6.8,1.9,53400,3.3,25,1.3,33.8,8.88,1,85
"Oman","Middle_East",3090150,9.98,74.47,2.87,3.9,11.4,27600,15,39.2,4.1,3.8,17.86,6,47
"Pakistan","Asia",190291129,239.03,66.35,3.07,2.7,3,2800,5.6,30.6,11.9,60.1,0.8,4,27
"Palau","Oceania",21032,45.82,72.06,1.72,5.7,0.7,8100,4.2,35.2,2.7,11.2,3.21,1,37
"Panama","South_America",3510045,46.54,77.96,2.43,3.8,1,14100,4.5,51.9,5.9,40,4.4,1,38
"Papua_New_Guinea","Oceania",6310129,13.63,66.46,3.39,4.1,1.4,2500,1.9,50.9,8.4,22.9,0.84,4,25
"Paraguay","South_America",6541591,16.08,76.4,2.06,4,1,6200,6.6,53.2,8.3,13.8,0.67,3,25
"Peru","South_America",29549517,22.99,72.73,2.29,2.7,1.5,10100,7.9,46,3.4,19.9,1.42,2,38
"Philippines","Asia",103775002,345.92,71.94,3.15,2.8,0.9,4100,7,45.8,4.7,50.9,0.83,3,34
"Poland","Europe",38415284,122.86,76.25,1.31,4.9,1.9,20200,12.4,34.2,4.2,53.4,7.91,1,58
"Portugal","Europe",10781459,117.08,78.7,1.51,4.4,2.3,23400,12.7,38.5,3.7,107.8,4.77,1,63
"Qatar","Middle_East",1951591,168.44,78.09,1.93,3.3,10,98900,0.4,55.1,1.9,34,33.14,6,68
"Romania","Europe",21848504,91.65,74.22,1.3,4.3,1.9,12500,5.1,33.3,5.8,38.6,3.59,2,44
"Russia","Europe",142517670,8.34,66.46,1.61,3.9,3.9,16700,6.6,42,8.4,8.3,11.47,6,28
"Rwanda","Africa",11689696,443.83,58.44,4.81,4.1,2.9,1300,14,46.8,4.9,24.5,0.07,6,53
